,Date,Location,Shape,Duration,Population,Count
10444,1973-03-13," New Orleans, LA", circle,approx. 2hrs.,343829.0,1
10699,1973-03-15," Hartford, CT", triangle,minute,124775.0,1
42166,1973-03-23," Sacramento, CA", cylinder,20 seconds,466488.0,1
14950,1973-04-01," Lufkin (general area, east Texas), TX", disk,15 minutes,35067.0,1
958,1973-04-05," Houston, TX", disk,30 seconds,2099451.0,1
37685,1973-04-15," Glenolden, PA", oval,5 min,7153.0,3
5126,1973-04-25," Grand Chenier, LA", sphere,20 seconds,,1
20271,1973-04-28," Ocean Springs, MS", triangle,5 min or so,17442.0,1
39900,1973-05-01," Texas City, TX", disk,2 1/2 hours,45099.0,4
39197,1973-05-05," Hampton, AR", fireball,30 seconds,1324.0,1
37559,1973-05-14," Madison, AL", disk,1 hour,,3
20608,1973-05-15," Tacoma, WA", sphere,1 to 2 min,198397.0,2
12199,1973-05-21," Huntsville, AL", cylinder,45,180105.0,1
15972,1973-05-23," Peoria, IL", oval,5 minutes,115007.0,1
31775,1973-06-01," Honolulu, HI", disk,20 seconds,,10
30917,1973-06-06," Brockton, MA", sphere,dont know,93810.0,2
32974,1973-06-07," La Porte, TX", disk,1 minute,33800.0,1
6816,1973-06-10," St. Charles, MO", sphere,1/2 hour,65794.0,1
20560,1973-06-12," Irwin, PA", other,5 min.,3973.0,1
25183,1973-06-15," San Jose, CA", triangle,15min+,945942.0,12
27533,1973-06-21," Jackson, TN", oval,5-10 minutes,65211.0,1
40290,1973-06-22," Hinsdale, MA", disk,10 Minutes,,1
16150,1973-06-25," East Liverpool, OH", sphere,30 seconds,11195.0,1
31560,1973-06-30," Whitesburg, KY", cigar,5-10 minutes,2139.0,2
33613,1973-07-01," Perth, NY", light,15 minutes,,6
31972,1973-07-05," Stockton (intersection of I-5 and I-580), CA", changing,3hrs,291707.0,1
22644,1973-07-07," Odessa, TX", disk,1 hour,99940.0,4
41296,1973-07-12," Norwalk, CT", cigar,15 min,85603.0,1
6129,1973-07-14," Lexington, NC", oval,5 minutes,18931.0,2
33229,1973-07-15," Decatur, GA", triangle,10-15 MINUTES,19335.0,6
5375,1973-07-17," Asheville, NC", disk,4 minutes,83393.0,1
30888,1973-07-20," Salem, IL", circle,5 minutes,7485.0,2
41501,1973-07-22," Warm Springs, OR", disk,30-60 secs.,2945.0,2
2378,1973-07-24," St. Croix Falls, WI", diamond,Ten Minutes,2133.0,2
9990,1973-07-25," Milwaukee, WI", unknown,1 hour,594833.0,1
10574,1973-07-31," Burlington, NC", disk,5 minutes,49963.0,1
2762,1973-08-01," Piedmont (3 miles east of), MO", oval,45 minutes,1977.0,4
33316,1973-08-03," Irvington, NJ", oval,10 -15 min,,2
17339,1973-08-06," Denver, CO", triangle,3-5 miutes,600158.0,1
16346,1973-08-12," West Hazleton, PA", disk,one half hour,4594.0,1
37560,1973-08-15," Takoma Park, MD", sphere,5 minutes,16715.0,6
20320,1973-08-19," Yellville, AR", light,3 to 5 min,1204.0,1
41127,1973-08-20," Poland, OH", triangle,10 min,2555.0,1
12800,1973-09-08," Lewisburg, PA", triangle,3min,5792.0,1
15859,1973-09-10," Moss Point, MS", circle,3 hours overall approx.,13704.0,1
16999,1973-09-12," San Antonio, TX", circle,5 minutes,1327407.0,1
23880,1973-09-15," Little Meadows, PA", oval,15 min,273.0,3
17785,1973-09-16," Jefferson, IA", oval,4 hours,4345.0,1
38428,1973-09-20," Salina, KS", light,30 seconds,47707.0,5
24986,1973-09-22," Philip, SD", disk,one hour,779.0,2
16714,1973-09-28," Strongsville, OH", other,10 minutes?,44750.0,1
1389,1973-09-30," Wooster, OH", triangle,1 minute,26119.0,1
34205,1973-10-01," Roseburg, OR", cylinder,"not sure,maybe 2 hours",21181.0,5
1665,1973-10-06," El Centro (a few miles west of), CA", light,about 1/2 hour,42598.0,1
5512,1973-10-08," Tupelo, MS", disk,4 sec,34546.0,1
14296,1973-10-10," Niantic, CT", disk,20-30 MIN,3114.0,1
5358,1973-10-11," Jupiter, FL", egg,POSSIBLE 4 hrs.,55156.0,1
2299,1973-10-12," Birmingham (just south of), AL", disk,10-15 minutes,212237.0,1
34989,1973-10-15," Spokane, WA", circle,15 Minutes,208916.0,5
31921,1973-10-17," Montgomery, AL", light,15 minutes,205764.0,1
19955,1973-10-18," Charlotte, NC", oval,30 minutes,731424.0,1
31787,1973-10-20," Carthage, IN", fireball,20 minutes,927.0,1
41645,1973-10-21," Federalsburg, MD", disk,5 mins.,2739.0,3
19462,1973-10-24," Centerville, OH", other,45 min,103.0,5
34051,1973-10-30," Green River (20 miles west of on I-70), UT", disk,15 seconds,952.0,2
9521,1973-10-31," Wilson, OK", cigar,10 min,1724.0,1
13144,1973-11-10," Boone, NC", disk,30 minutes,17122.0,1
12741,1973-11-11," West Chester, PA", disk,three minutes,18461.0,1
10507,1973-11-15," Key West, FL", disk,20-30 seconds,24649.0,1
5227,1973-11-23," Kapaa, HI", cigar,10 minutes,,1
11648,1973-11-25," Vienna, VA", cigar,5 seconds,15687.0,1
7021,1973-12-03," Avoca, IA", unknown,1 hour,1506.0,1
13656,1973-12-12," Kirkland, WA", triangle,3 min,48787.0,1
12369,1973-12-15," Olympia, WA", diamond,appox 10 mins,46478.0,1
705,1974-01-01," Kent, WA", cigar,5:00 min,92411.0,1
3588,1974-01-09," Carbondale, PA", circle,three days,8891.0,1
15373,1974-01-15," Terre Haute, IN", disk,20 min,60785.0,1
39756,1974-01-24," Pawtucket, RI", disk,1 hour,71148.0,2
27119,1974-01-30," San Diego, CA", unknown,10 seconds,1307402.0,1
1936,1974-01-31," Ponce (Puerto Rico), PR", sphere,10  to 15 minutes,132502.0,1
38001,1974-02-14," Woodlawn, VA", fireball,10 seconds,20804.0,2
37096,1974-02-15," Simpson, PA", unknown,10 + minutes,1275.0,2
15907,1974-02-19," Indianapolis, IN", disk,5 seconds,820445.0,1
26364,1974-03-15," Moosic, PA", circle,30minutes,5719.0,2
