date,distance,drinking,population,satellite,fireball,pilotballon,precipitation,visibility,smog,shape,timing
20090722,501.0157584,,,0,,,,,, unknown,?
20030425,4999.509845,,,0,,,,,,,
20090928,48.60294679,,,0,,,,,, egg,not known
20061120,1.426836347,,,0,,,,,, fireball,Unknown
20050704,,,,0,,,,,, formation,4 hours
20050228,,,,0,,,,,,,
20060129,288.4568821,,,0,,,,,, sphere,one hour
20080704,5154.610616,,,0,,,,,,,10 minutes
20100805,,,,0,,,,,, circle,30 sec
20021210,,,,0,,,,,, other,3 H
20050909,,,,0,,,,,, disk,Minutes
20011122,554.6722275,,,0,,,,,, unknown,don&apos;t know
20050225,228.802845,,,0,,,,,, cigar,2 minutes
20070107,,,,0,,,,,, unknown,
20040303,,,,0,,,,,, cigar,about 1 min.
20050917,17.01914957,,,0,,,,,, unknown,1 minute
20030422,1596.131134,,,0,,,,,,,
20050212,1823.969531,,,0,,,,,, unknown,
20050427,,,,0,,,,,, disk,1 minute
20020731,,,,0,,,,,, disk,1min
20050115,,,,0,,,,,, triangle,20 mins
20010330,1.484259414,,,0,,,,,, other,
20040607,,,,0,,,,,, oval,1minute
20060203,318.9345579,,,0,,,,,, disk,30 min. approx.
20050225,1.681567505,,,0,,,,,, light,30 mins.
20080526,,,,0,,,,,, disk,5 seconds
20030101,1631.00049,,,0,,,,,, circle,
20060313,4.173072328,,,0,,,,,, disk,unkn
20090227,,,,0,,,,,, rectangle,2O MINUTES
20010205,3.754385476,,,0,,,,,, cigar,3 minutes.
20050225,1829.549693,,,0,,,,,, cylinder,10 seconds
20020220,0.657943336,,,0,,,,,, light,5 to 10 min
20050716,0.673949831,,,0,,,,,, oval,10 minutes
20040410,7.304544057,,,0,,,,,, sphere,10 seconds
20031002,,,,0,,,,,, disk,30 seconds
20050224,9.22E+18,,,0,,,,,, other,1 minute
20050302,1542.878646,,,0,,,,,, circle,2 minutes
20020903,,,,0,,,,,, disk,several days
20050923,0.251619188,,,0,,,,,, unknown,Hours?
20070806,1.659078904,,,0,,,,,, unknown,2-3 min
20010730,579.7522812,,,0,,,,,, rectangle,two minutes
20061213,,,,0,,,,,, disk,seconds or minutes
20040811,,,,0,,,,,,,10 sec.
20090223,261.1900319,,,0,,,,,, other,1 hour
19970704,8.723732882,,,0,,,,,, disk,10-20 min
20010817,,,,0,,,,,, cigar,10 minutes
20031121,,,,0,,,,,, light,5 min.
20050412,,,,0,,,,,, sphere,10mins
20080121,1191.406636,,,0,,,,,, light,10-15 minutes
20051213,,,,0,,,,,, cylinder,30 seconds
20030120,7.970171284,,,0,,77.30961959,,,, disk,3 weeks
20040627,7.970171284,,,0,,77.30961959,,,, disk,3 weeks
20040720,0.701057993,,,0,,,,,, cigar,3 minutes
20050317,602.9155501,,,0,,,,,, disk,1:30
20030730,,,,0,,,,,, disk,2  min est.
20090503,643.4102589,,,0,,,,,, disk,1+ Hour
20091018,,,,0,,,,,, circle,60 seconds
20091030,9.22E+18,,,0,,,,,, cigar,15-20 min
20081229,2.782558298,,,0,,,,,, sphere,4 minutes
20010614,3.091009532,,,0,,,,,, cylinder,3 or 4 minutes
20090612,,,,0,,,,,, disk,Short
20000527,,,,0,,,,,, cigar,short
20050309,213.8506086,,,0,,0.321286331,,,, cigar,short
20050224,9.22E+18,,,0,,,,,, disk,all day
20050512,,,,0,,,,,, disk,
20000528,,,,0,,,,,, circle,Short
20050318,,,,0,,,,,, circle,10 minutes
20050822,1.454584978,,,0,,,,,, disk,seconds
20030827,9.22E+18,,,0,,,,,, disk,2 NIGHTS
20031115,431.9718875,,,0,,6.367995202,,,, formation,3 min
20010921,0.081219063,,,0,,,,,, sphere,2 hours ?
20031227,0.036841752,,,0,,,0,6,, disk,5 MINUTES
20031110,333.9853822,,,0,,,0,,, oval,8-9 DAYS
20021122,1.541320632,,,0,,,0,15,, sphere,1 minute
20080214,,,,0,,,0.11,,, disk,5 min
20050918,2.063528167,,,0,,,0.06,,, sphere,10 seconds
20030501,1.514911891,,,0,,,,,, disk,20 secs.
20010511,9.22E+18,,,0,,,,,,,
20041028,,,,0,,,,,, cigar,15 min
20071220,12.45226764,,,0,,,,,, sphere,10 Seconds
