airport	count
Massillon Community Hospital Heliport	9
Des Moines General Hospital Heliport	43
Bucker Field	13
Costa Mesa Police Department Heliport	20
Brown Boy Airport	1
Memphis International Airport	1
Williston Armory Heliport	2
Scappoose Industrial Airpark	8
Buchanan Field	29
Tuality Hospital Heliport	20
Tusquitee Heliport	6
Cabell Huntington Hospital Heliport	24
Ingersoll Airport	1
Survival Flight Heliport	23
Trollman's Field	1
67 Madison Ave Partnership Ltd Heliport	63
El Monte Airport	27
Flying R Airport	6
Monterey Peninsula Airport	8
Global Development Facility Heliport	16
Usa Medical Center Heliport	22
Sierra Medical Center Heliport	68
St Elizabeth's Hospital Heliport	10
Hansen Airport	2
Show Low Regional Airport	11
St Peter's Community Hospital Heliport	10
Juniper Hills Airport	1
Presence United Samaritans Medical Center Heliport	3
Central Dupage Hospital Heliport	17
Aurora Presbyterian Hospital Heliport	43
City Hall Heliport	295
Chinle Airport	2
Northern Nevada Medical Center Heliport	3
Evart Municipal Airport	4
Shawnee Regional Airport	5
Tampa General Hospital Brandon Healthplex Heliport	6
Mitchell's Airport	18
Orange Co Sheriffs Forensics Lab Helistop	30
Tew Mac Heliport	10
Pir Heliport	1
Central District Police Station Heliport	9
Stovepipe Wells Airport	1
University of Kentucky Hospital Heliport	34
Covenant Medical Center Heliport	12
Antonio Nery Juarbe Pol Airport	2
Temple University Heliport	1
Wilson Memorial Regional Medical Center Heliport	28
San Diego Police Headquarters Heliport	280
Hastings Airport	5
Janes Heliport	31
Burlington Generating Station Heliport	8
Rockwell City Municipal Airport	8
Hackley Hospital Emergency Heliport	17
Touchet Valley Airport	1
Lebanon Municipal Airport	10
Shannon Medical Center Heliport	12
Turkey Creek Lake Airport	2
Eirmc Heliport	2
Spirit of St Louis Airport	4
Jackson-Madison County General Hospital Heliport	18
The Westin Heliport	5
Mattison's Seaplane Base	7
Mercy Hospital of Folsom Heliport	19
Napa County Airport	21
I-90/Bellevue Busi Pk Boeing Comp Svcs Hdq Heliport	1
Gravelly Valley Airport	2
Los Angeles County Sheriff's Department Heliport	3
Erasmus Medisch Centrum Heliport	43
Skyline Airstrip	2
Glover Airport	2
Calvin Campbell Municipal Airport	3
Mimbres Memorial Hospital Heliport	14
Cloquet Carlton County Airport	3
Placerville Airport	16
St Mary-Corwin Hospital Heliport	23
Devil's Reach Landing Airport	2
Arrowhead Regional Medical Center Heliport	4
Kołobrzeg-Bagicz	1
Eliza Coffee Memorial Hospital Heliport	7
Oroville Hospital Heliport	10
Community Hospital Heliport	19
Trento-Mattarello Airport	5
Providence Medical Plaza Heliport	59
Rice Ranch Airport	1
Kimray Airport	12
Davis Hospital & Medical Center Heliport	10
Lacrosse Municipal Airport	1
Samaritan Pacific Communities Hospital Heliport	11
Boulder Community Hospital Heliport	48
Sarasota Memorial Hospital Heliport	44
Private Sealanes-Jamaica Bay Seaplane Base	125
Mc David Honda Heliport	13
Arkansas Children's Hospital Heliport	44
Mears Field Airport	3
Calgary (City / Bow River) Heliport	10
West Valley Medical Center Heliport	15
Wilkes-Barre General Hosptial Heliport	21
Gilbert Development Corp Heliport	16
Vey Sheep Ranch Airport	2
Thomas Memorial Airport	2
Leisureland Airpark	9
Scott AFB/Midamerica Airport	2
Keesler Air Force Base	11
Sky Lakes Medical Center Heliport	12
Ronan Airport	2
Minn D O T Heliport	1
Acme Heliport	20
Madigan Hospital Heliport	10
Shady Cove Airpark	1
Mount Hood Medical Center Heliport	27
Malmstrom Air Force Base	2
King Copters Heliport	4
Tivat Airport	3
Corona Regional Medical Center Heliport	6
Tiger Field	3
Jennie Edmundson Hospital Heliport	12
Winnabow Airport	2
Skydive Oregon Airport	9
Tallahassee Memorial Hospital Heliport	35
Whitefish Airport	12
Burke Lakefront Airport	57
Lehman Airport	3
Troy Airport	3
Île Sainte-Hélène Water Airport	65
Richardson Regional Heliport - Campbell Road	14
St Anthony Heliport	58
Custer Main Heliport	1
Alta View Hospital Heliport	24
Madlienas lidlauks	1
Syferfontein Airport	4
Good Samaritan Heliport	11
Columbia Helicopters Heliport	9
Chitwood Airstrip	1
Dimascio Field	3
Tennessee Army & Air National Guard Heliport	11
Gull Lake Airport	9
Gossard Field	1
Cascade Locks State Airport	3
Evans Heliport	2
Walter A Swalley Airpark	9
Anchorage Lofts Hotel Heliport	42
Dallas City Hall Heliport	113
Baltimore Police Department Heliport	78
Mojave Airport	15
St. Croix Airport	6
Fabick-Colmarile Heliport	19
Bothwell Regional Health Center Heliport	5
Sequoia Ranch Airport	5
Harris Field	7
St Francis Regional Medical Center Heliport	57
Idaho Falls Regional Airport	20
Pembroke Farm Airport	6
Montreal / Kruger Heliport	65
Smokey's Heliport	29
Pink Hill Airport	1
Reading Hospital Heliport	27
Reoh1 Heliport	14
Picatinny Army Heliport	12
Davis Family Furniture Heliport	11
Waukesha Memorial Hospital Heliport	10
Sumter Airport	7
Bmcg Heliport	17
Lester E. Cox Medical Center North Heliport	49
John Muir Mt. Diablo Medical Center Heliport	29
Richards-Gebaur Air Force Base	6
Drv Downtown Houston Aquarium Heliport	245
Southwest Washington Regional Airport	16
The Ranch Airport	2
Grove City Medical Ctr Heliport	7
Lee Memorial Hospital Emergency Heliport	26
Broward County Civic Arena Heliport	9
North Port Ems Heliport	11
The Royal London Hospital Helipad	199
Cashmere-Dryden Airport	6
Bishop International Airport	13
Alexander's-Roosevelt Heliport	3
Grace's Landing Airport	2
Seavair's Landing Seaplane Base	9
Red Roof Inns Heliport	6
Newhalem Office Heliport	2
Kalispell Regional Hospital Heliport	18
Zinck Airport	67
Wilds Field	5
Hi Line Lodge Airport	2
Swedish S.W. Medical Heliport	27
Humphries Rotordrome Airport	5
Sons Ii Heliport	1
North Michigan Hospitals Inc Heliport	6
Walla Walla Regional Airport	2
Lincoln Tower Heliport	9
Hospital Can Misses Heliport	8
Smyth County Community Hospital Heliport	12
Bay Area Hospital Heliport	11
Suburban Airport	11
Mountain Village Airport	1
Samaritan Hospital Rms Heliport	20
Northside & Tod Children's Hospital Heliport	19
L A Co Sheriff Lakewood Heliport	9
Romeo Airstrip	1
Sanford Health-Bismark Heliport	11
Simerly Airport	12
Marsh Field	5
Utley Field	12
North Af Aux Airport	24
Langille Lake Seaplane Base	1
Broadway Helicopters Heliport	13
Pomona Superior Court Heliport	23
Colorado Plains Medical Center Heliport	3
Santa Paula Airport	3
Vista Field	5
Hopewell Airport	30
Fender J H Airport	1
Springs Memorial Heliport	4
Palmdale Regional/USAF Plant 42 Airport	29
Alice Springs Airport	4
City of Fort Lauderdale Heliport	57
Canberra Hospital Helipad	17
Rhode Island Hospital Heliport	5
City Airport Manchester	7
Napiers Heliport	6
Harris Hill Gliderport	1
Medical University of South Carolina Heliport	32
